,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-CX-7086-01A,0.002,0.0,0.02,0.004,0.008,0.0,0.011,0.031,0.005,0.011,0.002,0.0,0.0,0.021,0.019,0.866,0.866,HNSC,0.9269,0.69,0.6398,0.8,0.8171,
TCGA-CN-5364-01A,0.0,0.0,0.02,0.011,0.0,0.0,0.019,0.035,0.077,0.02,0.069,0.0,0.0,0.008,0.0,0.738,0.738,HNSC,0.8141,0.42,0.6385,0.75,0.6783,
TCGA-BA-A6DB-01A,0.006,0.001,0.05,0.002,0.049,0.0,0.08,0.037,0.138,0.041,0.046,0.0,0.0,0.008,0.001,0.541,0.541,HNSC,0.6553,,0.5884,0.6,0.5511,
TCGA-CQ-5325-01A,0.055,0.001,0.048,0.043,0.028,0.0,0.058,0.043,0.126,0.042,0.098,0.0,0.0,0.016,0.006,0.437,0.437,HNSC,0.5247,0.19,0.4515,0.705,0.3776,
TCGA-CN-4731-01A,0.003,0.0,0.006,0.002,0.004,0.0,0.02,0.021,0.161,0.009,0.015,0.0,0.0,0.005,0.0,0.753,0.753,HNSC,0.8472,0.64,0.5378,0.8,0.7358,
TCGA-CV-7427-01A,0.0,0.0,0.046,0.028,0.016,0.0,0.047,0.035,0.013,0.003,0.077,0.0,0.0,0.029,0.014,0.692,0.692,HNSC,0.7458,0.51,0.5074,0.755,0.6407,
TCGA-CR-6467-01A,0.026,0.056,0.057,0.033,0.036,0.0,0.065,0.038,0.038,0.014,0.031,0.0,0.0,0.01,0.001,0.594,0.594,HNSC,0.7638,0.64,0.728,0.8,0.7151,
TCGA-CV-7183-01A,0.0,0.0,0.003,0.003,0.003,0.0,0.005,0.034,0.038,0.011,0.0,0.0,0.0,0.007,0.011,0.884,0.884,HNSC,0.9058,0.5,0.6794,0.85,0.6475,
TCGA-CV-A6JN-01A,0.0,0.0,0.009,0.008,0.004,0.0,0.019,0.014,0.004,0.008,0.013,0.0,0.0,0.001,0.009,0.912,0.912,HNSC,0.8448,,0.6077,0.8,0.6573,
TCGA-D6-A6EN-01A,0.0,0.0,0.048,0.022,0.024,0.0,0.027,0.013,0.002,0.001,0.081,0.0,0.0,0.001,0.003,0.778,0.778,HNSC,0.7291,,0.5052,0.7,0.6126,
TCGA-CQ-A4C7-01A,0.0,0.0,0.022,0.002,0.006,0.0,0.003,0.049,0.188,0.05,0.021,0.0,0.0,0.008,0.0,0.65,0.65,HNSC,0.8083,,0.7162,0.9,0.7502,
TCGA-CV-5435-01A,0.0,0.0,0.003,0.001,0.005,0.0,0.012,0.028,0.133,0.025,0.013,0.0,0.0,0.008,0.0,0.772,0.772,HNSC,0.9279,0.67,0.9141,0.75,0.8554,
TCGA-CR-7370-01A,0.008,0.0,0.016,0.01,0.005,0.0,0.004,0.04,0.142,0.027,0.032,0.0,0.005,0.018,0.0,0.692,0.692,HNSC,0.8675,,0.7515,0.9,0.7867,
TCGA-CN-4722-01A,0.013,0.0,0.015,0.001,0.011,0.0,0.011,0.088,0.132,0.032,0.011,0.0,0.0,0.007,0.014,0.666,0.666,HNSC,0.8035,0.32,0.5678,0.8,0.5697,
