,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-BJ-A0Z9-01A,0.0,0.0,0.011,0.0,0.0,0.0,0.805,0.008,0.034,0.032,0.0,0.108,0.0,0.0,0.001,0.0,THCA,0.8925,,0.793,0.8,0.7915,
TCGA-EL-A3CW-01A,0.074,0.083,0.023,0.004,0.02,0.002,0.452,0.028,0.126,0.069,0.04,0.076,0.001,0.0,0.002,0.001,THCA,0.7443,,0.6828,0.85,0.662,
TCGA-FY-A3R6-01A,0.083,0.017,0.019,0.019,0.015,0.0,0.401,0.046,0.153,0.075,0.042,0.126,0.001,0.001,0.002,0.001,THCA,0.669,,0.6952,0.8,0.6765,
TCGA-H2-A2K9-01A,0.025,0.003,0.002,0.005,0.001,0.0,0.659,0.0,0.178,0.044,0.054,0.027,0.0,0.0,0.003,0.0,THCA,0.9536,,1.0,0.95,0.9475,
TCGA-DJ-A2PO-01A,0.027,0.005,0.004,0.03,0.006,0.0,0.527,0.002,0.165,0.046,0.022,0.163,0.001,0.0,0.003,0.0,THCA,0.7731,,0.826,0.9,0.7913,
TCGA-FY-A40N-01A,0.05,0.005,0.002,0.015,0.001,0.0,0.73,0.001,0.099,0.008,0.012,0.072,0.0,0.0,0.003,0.0,THCA,0.9001,,0.9461,0.95,0.8748,
TCGA-EM-A1YD-01A,0.04,0.0,0.003,0.0,0.007,0.0,0.445,0.004,0.253,0.089,0.13,0.023,0.0,0.003,0.001,0.0,THCA,0.8485,,0.8288,0.85,0.8336,
TCGA-DE-A69J-01A,0.0,0.0,0.017,0.002,0.0,0.0,0.736,0.023,0.095,0.071,0.0,0.054,0.0,0.0,0.002,0.0,THCA,0.9006,,0.9346,0.7,0.8755,
TCGA-EL-A3MX-01A,0.006,0.001,0.002,0.004,0.0,0.0,0.886,0.005,0.025,0.043,0.001,0.023,0.002,0.0,0.002,0.0,THCA,0.9604,,0.9597,1.0,0.97,
TCGA-J8-A3YG-01A,0.002,0.0,0.01,0.001,0.0,0.0,0.689,0.006,0.096,0.064,0.02,0.105,0.0,0.0,0.006,0.0,THCA,0.8567,,0.8272,0.85,0.8159,
